var,delta,y_j,A,feasible,V,dA
S1_5,-1.0,183.9994889190166,341.2126740270775,False,0.027882080422857315,
S1_5,1.0,185.0,344.5493652960387,True,0.0,0.002005675460736711
S6,-1.0,185.0,344.5469907204002,True,0.0,-0.00036890017776158857
S6,1.0,186.0001510664052,346.99604003030424,False,0.003136214957404822,
S7,-1.0,225.0,344.5207092339533,False,2.7845482949828693e-05,
S7,1.0,226.00490265687984,350.0167315942002,False,0.006255951485328382,
S8_9,-1.0,262.2235621650583,330.4751927047629,False,0.0671532062844534,
S8_9,1.0,264.2235621650583,359.31120247000376,True,0.0,14.763842849425828
v,-0.5,95.62345926434594,352.7805173785384,True,0.0,8.233157757960441
v,0.5,96.62345926434594,337.33994802111374,False,0.02949312418124137,
