var,delta,A_L,J_sym,J_shape,J_tau,feasible,dA,dJ
S1_5,-1.0,413.0319415822789,0.02412603166398759,0.04956373314279866,0.099123907189061,False,,
S1_5,1.0,423.3343916543551,0.025628054161114733,0.04933610061731941,0.10364811996311443,True,5.175816164744845,0.0007582409279865698
S6,-1.0,415.5379728560596,0.024488530055828663,0.04950839157641899,0.10023402307362603,False,,
S6,1.0,420.7919693779479,0.025254525866734774,0.049392080412098444,0.10254127404157738,True,2.6333938883376504,0.0003847126336066105
S7,-1.0,412.1893545190052,0.024004257309496988,0.04958243197754629,0.09874924247552588,False,,
S7,1.0,424.1945793206509,0.025754708448957043,0.0493172268325502,0.10402117545791716,True,6.036003831040659,0.0008848952158288792
S8_9,-1.0,401.8892781963567,0.02468615272984417,0.04958351022254796,0.102394110608148,False,,
S8_9,1.0,419.05982843578965,0.024879190702347915,0.04944408065886619,0.10132880719790717,True,0.9012529461793974,9.377469219751244e-06
v,-0.5,427.51510063718683,0.025896030257704226,0.04908813209006509,0.10370935326058511,True,9.356525147576576,0.0010262170245760628
v,0.5,408.6095533996652,0.02359640401296537,0.04958482958974185,0.09834710912501457,False,,
