algo,repeat,feasible,A,V,elapsed_s,S1_5,S6,S7,S8_9,v
CDE+COBYLA,0,True,345.12495745726693,0.0,204.33782169999904,184.9801040228729,185.00882166322324,225.0,263.2806973852784,96.1352765605433
GA+COBYLA,0,True,435.91206034888273,0.0,212.07249600000796,180.9546610162545,199.58893546271784,230.29598762217648,257.01249034694814,88.32845175591083
PSO+COBYLA,0,True,366.6687599795773,0.0,199.63516619999427,183.86350791957312,191.50868875468774,225.00184301521156,261.44661874725074,93.83659379116692
CDE+COBYLA,1,True,354.33075258415647,0.0,198.03111689997604,183.06124643056353,185.16889097183847,225.0,262.4035903955747,94.2973744521111
GA+COBYLA,1,True,404.44527796066285,0.0,202.313030099991,182.93941011487624,185.0,233.80354715358845,258.826570471552,91.12947702038211
PSO+COBYLA,1,True,369.7974668297276,0.0,199.8490901000041,184.95443332116648,185.9254643844859,229.71937855068512,261.17380330149166,94.46570633964197
CDE+COBYLA,2,True,347.57198759575874,0.0,199.40378580000834,184.46749922607236,185.2132361566559,225.0,262.9666095491954,95.59328369995953
GA+COBYLA,2,True,399.282406012645,0.0,205.03141470000264,184.65382398510656,201.24329617502462,226.5379956817104,259.1252882124684,92.06727837428369
PSO+COBYLA,2,True,352.4623909739356,0.0,198.19384900000296,184.1834323373949,185.1835010990552,225.7510318441311,262.55891783933976,95.10351827306198
CDE+COBYLA,3,True,344.8085851721163,0.0,199.53439829999115,184.92490438791768,185.02803440099646,225.0,263.2080424947858,96.07965558364542
GA+COBYLA,3,True,428.6643233069976,0.0,206.22310840000864,184.6298625082107,199.3773711148072,233.16682518042282,257.4002968150467,91.02358942186555
PSO+COBYLA,3,True,347.93085936896654,0.0,198.5734736000013,184.99999711018458,186.19612212676455,225.0,262.9382137941094,95.84314250782705
CDE+COBYLA,4,True,344.705502378445,0.0,197.70740239997394,184.9995,185.12479750323592,225.0,263.21424533627504,96.12384891880126
GA+COBYLA,4,True,418.70339441534793,0.0,201.91262509999797,182.83640671587017,195.39957565552027,231.4720720325611,257.95916261597114,90.33853844119379
PSO+COBYLA,4,True,374.57230460917447,0.0,197.75202379998518,184.21797552510114,191.4641230920471,226.27605865608388,260.8200606753648,93.31840970300428
