param,delta,T_peak,tau_150_190,tau_217,q3_A,q3_feasible,q4_J_sym,q4_feasible,delta_label,dA,dTpeak
baseline,0.0,240.0000012936308,61.13213780581397,54.03495904657416,410.68062856897336,True,0.024869813233128164,True,,,
eta_pre,-0.05,239.62761317464032,58.21750880188499,53.2276935393981,395.32768623655784,False,0.023354761848965434,False,-5%,-15.352942332415523,-0.37238811899047164
eta_pre,0.05,240.33575768508277,63.746619060353765,54.77070767468251,424.9145222995631,True,0.026273383748461478,True,+5%,14.233893730589728,0.3357563914519801
eta_soak,-0.05,239.8957346482684,61.433383385353906,53.80801193617489,406.3364274120822,False,0.024308726120928405,False,-5%,-4.344201156891188,-0.10426664536240082
eta_soak,0.05,240.10270255757874,60.83333103939752,54.259205109888825,414.99461300943835,True,0.02542932405582366,True,+5%,4.313984440464992,0.10270126394794943
eta_ref,-0.05,238.4034494182302,61.716759103331995,51.9462970589384,363.1156050329574,False,0.02083281078176845,False,-5%,-47.565023536015985,-1.5965518754005927
eta_ref,0.05,241.4975549359148,60.603195243876954,55.93911235557235,457.6845603397865,True,0.02884264740470049,True,+5%,47.00393177081315,1.4975536422840037
eta_cool,-0.05,239.9884063818428,61.13213780581397,54.34193620365332,410.6644050649014,False,0.021457710003663522,False,-5%,-0.016223504071945172,-0.011594911787994988
eta_cool,0.05,240.0115906493095,61.13213780581397,53.72798104965224,410.69684688373127,True,0.028198033647031065,True,+5%,0.016218314757907137,0.011589355678722768
eta_cool_late,-0.05,240.0000012936308,61.13213780581397,54.30123997721395,410.68062856897336,True,0.02453798444405665,True,-5%,0.0,0.0
eta_cool_late,0.05,240.0000012936308,61.13213780581397,53.79403746353495,410.68062856897336,True,0.0251697893383424,True,+5%,0.0,0.0
