solution,param,delta,A,feasible,T_peak,tau_150_190,tau_217,dA
theoretical,baseline,0.0,344.54735962057794,True,240.00041683419255,60.04191849116121,45.70219099450625,
theoretical,eta_pre,-0.05,333.46904785280844,False,239.69260632268634,55.97022747998528,44.97525172484171,-11.078311767769492
theoretical,eta_pre,0.05,355.44710797902525,True,240.28135193662126,63.688811932651106,46.37117967701124,10.899748358447312
theoretical,eta_soak,-0.05,342.0610217568728,False,239.92033879623733,60.32923112649628,45.512464110206,-2.4863378637051596
theoretical,eta_soak,0.05,347.57091349034,False,240.0790303188759,59.75779071054329,45.88884725457547,3.023553869762054
theoretical,eta_ref,-0.05,301.41925900878107,False,238.368124280021,60.97680681944301,43.167574835905356,-43.12810061179687
theoretical,eta_ref,0.05,387.8376049672106,False,241.521665151975,59.196048237266,48.012723570910964,43.29024534663267
theoretical,eta_cool,-0.05,344.54713816206265,False,239.99926695080575,60.04191849116121,46.62602642633041,-0.0002214585152842119
theoretical,eta_cool,0.05,344.54758105976924,True,240.00156655636235,60.04191849116121,44.86630207305876,0.00022143919130712675
engineering,baseline,0.0,377.9310074416077,True,241.00001954795954,62.00485458063328,47.69753068100857,
engineering,eta_pre,-0.05,366.6977203267983,False,240.70697433726372,57.92406704695016,46.99584568320438,-11.2332871148094
engineering,eta_pre,0.05,388.96578608349785,True,241.267054761248,65.66214165198521,48.34215952375419,11.03477864189017
engineering,eta_soak,-0.05,375.4167968687458,True,240.92360321211143,62.29034885322763,47.513972523628325,-2.5142105728618844
engineering,eta_soak,0.05,381.0050820322898,True,241.07502318301,61.722599798514025,47.87807287071843,3.0740745906821303
engineering,eta_ref,-0.05,332.9225092792207,False,239.37975304886987,62.91622727037854,45.20462892221144,-45.00849816238696
engineering,eta_ref,0.05,422.9563408096047,True,242.5085676953177,61.18025975437264,49.968853869773426,45.02533336799701
engineering,eta_cool,-0.05,377.9307891851181,True,240.99888614628176,62.00485458063328,48.659290265850416,-0.00021825648957474186
engineering,eta_cool,0.05,377.93122567905334,True,241.00115279074853,62.00485458063328,46.82732817257224,0.00021823744566518144
